,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,A,25.613802,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053558,False,False,0.0,1520887932,574598,BR01GF0281
1,False,False,False,A,25.613802,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053558,False,False,0.0,1520887832,574598,BR01GF0281
2,False,False,False,A,25.613802,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053558,False,False,0.0,1520887762,574598,BR01GF0281
3,False,False,False,A,25.613802,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053558,False,False,0.0,1520887702,574598,BR01GF0281
4,False,False,False,A,25.613829,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053543,False,False,0.0,1520887652,574598,BR01GF0281
5,False,False,False,A,25.613829,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053543,False,False,0.0,1520887582,574598,BR01GF0281
6,False,False,False,A,25.613829,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053543,False,False,0.0,1520887498,574598,BR01GF0281
7,False,False,False,A,25.613829,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053543,False,False,0.0,1520887438,574598,BR01GF0281
8,False,False,False,A,25.613829,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053543,False,False,0.0,1520887377,574598,BR01GF0281
9,False,False,False,A,25.613817,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520887318,574598,BR01GF0281
10,False,False,False,A,25.613817,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520887258,574598,BR01GF0281
11,False,False,False,A,25.613817,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520887198,574598,BR01GF0281
12,False,False,False,A,25.613817,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520887138,574598,BR01GF0281
13,False,False,False,A,25.613817,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520887078,574598,BR01GF0281
14,False,False,False,A,25.613735,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053596,False,False,0.0,1520887018,574598,BR01GF0281
15,False,False,False,A,25.613735,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053596,False,False,0.0,1520886957,574598,BR01GF0281
16,False,False,False,A,25.613735,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053596,False,False,0.0,1520886897,574598,BR01GF0281
17,False,False,False,A,25.613735,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053596,False,False,0.0,1520886837,574598,BR01GF0281
18,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886777,574598,BR01GF0281
19,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886717,574598,BR01GF0281
20,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886657,574598,BR01GF0281
21,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886597,574598,BR01GF0281
22,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886536,574598,BR01GF0281
23,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886477,574598,BR01GF0281
24,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886417,574598,BR01GF0281
25,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886357,574598,BR01GF0281
26,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886297,574598,BR01GF0281
27,False,False,False,A,25.61381,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053551,False,False,0.0,1520886237,574598,BR01GF0281
28,False,False,False,A,25.613831,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053528,False,False,0.0,1520886177,574598,BR01GF0281
29,False,False,False,A,25.613831,"Service Rd, Kaliket Nagar, Danapur, BR 801503",85.053528,False,False,0.0,1520886116,574598,BR01GF0281
30,False,False,False,B,25.611826,"Danapur - Patliputra Jct Rd, Rupaspur, Kaliket Nagar, Patna, BR 801503",85.056168,False,False,27.0,1520886056,574598,BR01GF0281
31,False,False,False,B,25.6098,"Danapur - Patliputra Jct Rd, Ramjaipal Nagar, Danapur Nizamat, Patna, BR 801503",85.06086,False,False,26.0,1520885996,574598,BR01GF0281
32,False,False,False,B,25.608473,"Danapur - Patliputra Jct Rd, Rukanpura, Patna, BR 800025",85.064339,False,False,19.0,1520885936,574598,BR01GF0281
33,False,False,False,B,25.606958,"Danapur - Patliputra Jct Rd, Rukanpura, Patna, BR 801506",85.068687,False,False,31.0,1520885876,574598,BR01GF0281
34,False,False,False,B,25.605989,"Leelawati Apartment, Jagdeo Path, Arrah Garden Rd, Tapeshwar Nagar, Dhanaut, Patna, BR 800014",85.073318,False,False,33.0,1520885816,574598,BR01GF0281
35,False,False,False,B,25.605427,"Danapur - Patliputra Jct Rd, Balua, Khajpura, Patna, BR 800014",85.079086,False,False,33.0,1520885756,574598,BR01GF0281
36,False,False,False,B,25.60475,"Chaudhary Hotel Gali, Samanpura, Raja Bazar, Khajpura, Patna, BR 800014",85.085205,False,False,34.0,1520885696,574598,BR01GF0281
37,False,False,False,B,25.604551,"Jawahar Lal Nehru Marg, Khajpura, Patna, BR 800014",85.090286,False,False,33.0,1520885644,574598,BR01GF0281
38,False,False,False,B,25.604277,"401, Bailey Rd, Nand Gaon, Rajbansi Nagar, Patna, BR 800023",85.094978,False,False,22.0,1520885576,574598,BR01GF0281
39,False,False,False,B,25.604128,"401, Bailey Rd, Nand Gaon, Rajbansi Nagar, Patna, BR 800023",85.098183,False,False,29.0,1520885516,574598,BR01GF0281
40,False,False,False,B,25.603994,"SC-3, Bailey Rd, Rajbhavan Colony, Rajbansi Nagar, Patna, BR 800022",85.10276,False,False,12.0,1520885455,574598,BR01GF0281
