,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,A,22.394157,"GJ SH 6, Motikhavdi, GJ 361140",69.866634,False,False,0.0,1522358469,571764,GJ03BT4394
1,False,False,False,A,22.394185,"GJ SH 6, Motikhavdi, GJ 361140",69.866569,False,False,0.0,1522358169,571764,GJ03BT4394
2,False,False,False,A,22.394295,"GJ SH 6, Motikhavdi, GJ 361140",69.866496,False,False,0.0,1522357869,571764,GJ03BT4394
3,False,False,False,A,22.394222,"GJ SH 6, Motikhavdi, GJ 361140",69.86652,False,False,0.0,1522357569,571764,GJ03BT4394
4,False,False,False,A,22.394218,"GJ SH 6, Motikhavdi, GJ 361140",69.866471,False,False,0.0,1522357269,571764,GJ03BT4394
5,False,False,False,A,22.394189,"GJ SH 6, Motikhavdi, GJ 361140",69.866512,False,False,1.0,1522356969,571764,GJ03BT4394
6,False,False,False,A,22.394084,"GJ SH 6, Motikhavdi, GJ 361140",69.86674,False,False,0.0,1522356669,571764,GJ03BT4394
7,False,False,False,A,22.394238,"GJ SH 6, Motikhavdi, GJ 361140",69.866479,False,False,0.0,1522356369,571764,GJ03BT4394
8,False,False,False,A,22.394128,"GJ SH 6, Motikhavdi, GJ 361140",69.866724,False,False,0.0,1522356069,571764,GJ03BT4394
9,False,False,False,A,22.394271,"GJ SH 6, Motikhavdi, GJ 361140",69.86652,False,False,0.0,1522355769,571764,GJ03BT4394
10,False,False,False,A,22.394084,"GJ SH 6, Motikhavdi, GJ 361140",69.866699,False,False,0.0,1522355469,571764,GJ03BT4394
11,False,False,False,A,22.394177,"GJ SH 6, Motikhavdi, GJ 361140",69.866585,False,False,0.0,1522355169,571764,GJ03BT4394
12,False,False,False,A,22.394198,"GJ SH 6, Motikhavdi, GJ 361140",69.86674,False,False,1.0,1522354868,571764,GJ03BT4394
13,False,False,False,A,22.394226,"GJ SH 6, Motikhavdi, GJ 361140",69.866675,False,False,0.0,1522354568,571764,GJ03BT4394
14,False,False,False,A,22.394405,"GJ SH 6, Motikhavdi, GJ 361140",69.866512,False,False,0.0,1522354268,571764,GJ03BT4394
15,False,False,False,A,22.394096,"GJ SH 6, Motikhavdi, GJ 361140",69.866642,False,False,0.0,1522353968,571764,GJ03BT4394
16,False,False,False,A,22.394194,"GJ SH 6, Motikhavdi, GJ 361140",69.866675,False,False,1.0,1522353668,571764,GJ03BT4394
17,False,False,False,A,22.394336,"GJ SH 6, Motikhavdi, GJ 361140",69.866756,False,False,1.0,1522353368,571764,GJ03BT4394
18,False,False,False,A,22.394185,"GJ SH 6, Motikhavdi, GJ 361140",69.866862,False,False,0.0,1522353068,571764,GJ03BT4394
19,False,False,False,A,22.393331,"GJ SH 6, Motikhavdi, GJ 361140",69.866968,False,False,0.0,1522352768,571764,GJ03BT4394
20,False,False,False,A,22.393953,"GJ SH 6, Motikhavdi, GJ 361140",69.866423,False,False,0.0,1522352468,571764,GJ03BT4394
21,False,False,False,A,22.394108,"GJ SH 6, Motikhavdi, GJ 361140",69.866951,False,False,0.0,1522352168,571764,GJ03BT4394
22,False,False,False,A,22.394206,"GJ SH 6, Motikhavdi, GJ 361140",69.866447,False,False,1.0,1522351868,571764,GJ03BT4394
23,False,False,False,A,22.39401,"GJ SH 6, Motikhavdi, GJ 361140",69.866935,False,False,1.0,1522351568,571764,GJ03BT4394
24,False,False,False,A,22.394112,"GJ SH 6, Motikhavdi, GJ 361140",69.866626,False,False,0.0,1522351268,571764,GJ03BT4394
25,False,False,False,A,22.394051,"GJ SH 6, Motikhavdi, GJ 361140",69.866789,False,False,0.0,1522350968,571764,GJ03BT4394
26,False,False,False,A,22.394238,"GJ SH 6, Motikhavdi, GJ 361140",69.866504,False,False,0.0,1522350668,571764,GJ03BT4394
27,False,False,False,A,22.39412,"GJ SH 6, Motikhavdi, GJ 361140",69.866813,False,False,0.0,1522350368,571764,GJ03BT4394
28,False,False,False,A,22.394063,"GJ SH 6, Motikhavdi, GJ 361140",69.86674,False,False,0.0,1522350068,571764,GJ03BT4394
29,False,False,False,A,22.394255,"GJ SH 6, Motikhavdi, GJ 361140",69.866463,False,False,0.0,1522349768,571764,GJ03BT4394
30,False,False,False,A,22.394198,"GJ SH 6, Motikhavdi, GJ 361140",69.866561,False,False,0.0,1522349468,571764,GJ03BT4394
31,False,False,False,A,22.394084,"GJ SH 6, Motikhavdi, GJ 361140",69.866829,False,False,1.0,1522349168,571764,GJ03BT4394
32,False,False,False,A,22.39432,"GJ SH 6, Motikhavdi, GJ 361140",69.866056,False,False,0.0,1522348868,571764,GJ03BT4394
33,False,False,False,A,22.394218,"GJ SH 6, Motikhavdi, GJ 361140",69.866504,False,False,0.0,1522348568,571764,GJ03BT4394
34,False,False,False,A,22.394246,"GJ SH 6, Motikhavdi, GJ 361140",69.866479,False,False,0.0,1522348268,571764,GJ03BT4394
35,False,False,False,A,22.394267,"GJ SH 6, Motikhavdi, GJ 361140",69.866431,False,False,0.0,1522347968,571764,GJ03BT4394
36,False,False,False,A,22.394198,"GJ SH 6, Motikhavdi, GJ 361140",69.866496,False,False,0.0,1522347668,571764,GJ03BT4394
37,False,False,False,A,22.394226,"GJ SH 6, Motikhavdi, GJ 361140",69.866479,False,False,0.0,1522347368,571764,GJ03BT4394
38,False,False,False,A,22.394173,"GJ SH 6, Motikhavdi, GJ 361140",69.866528,False,False,0.0,1522347068,571764,GJ03BT4394
39,False,False,False,A,22.394181,"GJ SH 6, Motikhavdi, GJ 361140",69.866602,False,False,0.0,1522346768,571764,GJ03BT4394
40,False,False,False,A,22.394181,"GJ SH 6, Motikhavdi, GJ 361140",69.866536,False,False,0.0,1522346468,571764,GJ03BT4394
