,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,B,22.3798133,"Jamnagar - Rajkot Hwy, GJ 360110",70.6814066,False,False,42,1527618578,575851,GJ06AT6104
1,False,False,False,B,22.3808733,"Jamnagar - Rajkot Hwy, GJ 360110",70.6779916,False,False,43,1527618548,575851,GJ06AT6104
2,False,False,False,B,22.3820283,"Jamnagar - Rajkot Hwy, GJ 360110",70.67442,False,False,44,1527618518,575851,GJ06AT6104
3,False,False,False,B,22.3831266,"Jamnagar - Rajkot Hwy, GJ 360110",70.6708833,False,False,45,1527618488,575851,GJ06AT6104
4,False,False,False,B,22.3841916,"Jamnagar - Rajkot Hwy, GJ 360110",70.6674583,False,False,44,1527618458,575851,GJ06AT6104
5,False,False,False,B,22.3852199,"Jamnagar - Rajkot Hwy, GJ 360110",70.6640949,False,False,43,1527618428,575851,GJ06AT6104
6,False,False,False,B,22.386205,"Jamnagar - Rajkot Hwy, GJ 360110",70.6608266,False,False,39,1527618398,575851,GJ06AT6104
7,False,False,False,B,22.3874266,"Jamnagar - Rajkot Hwy, Taraghadi, GJ 360110",70.65803,False,False,36,1527618368,575851,GJ06AT6104
8,False,False,False,B,22.389155,"Jamnagar - Rajkot Hwy, GJ 360110",70.65584,False,False,39,1527618338,575851,GJ06AT6104
9,False,False,False,B,22.39063,"Jamnagar - Rajkot Hwy, GJ 360110",70.6531916,False,False,36,1527618308,575851,GJ06AT6104
10,False,False,False,B,22.3917483,"Jamnagar - Rajkot Hwy, GJ 360110",70.6506049,False,False,35,1527618278,575851,GJ06AT6104
11,False,False,False,B,22.3930566,"Jamnagar - Rajkot Hwy, GJ 360110",70.6478633,False,False,42,1527618248,575851,GJ06AT6104
12,False,False,False,B,22.3944116,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.6446083,False,False,45,1527618218,575851,GJ06AT6104
13,False,False,False,B,22.3958333,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.641355,False,False,44,1527618188,575851,GJ06AT6104
14,False,False,False,B,22.3974133,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.6380883,False,False,46,1527618158,575851,GJ06AT6104
15,False,False,False,B,22.3994716,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.6351816,False,False,43,1527618128,575851,GJ06AT6104
16,False,False,False,B,22.4015833,"Jamnagar - Rajkot Hwy, Virpur, GJ 360110",70.6325766,False,False,42,1527618098,575851,GJ06AT6104
17,False,False,False,B,22.4041949,"Jamnagar - Rajkot Hwy, Virpur, GJ 360110",70.6304483,False,False,44,1527618068,575851,GJ06AT6104
18,False,False,False,B,22.4060183,"Jamnagar - Rajkot Hwy, Virpur, GJ 360110",70.6275766,False,False,45,1527618037,575851,GJ06AT6104
19,False,False,False,B,22.40805,"Jamnagar - Rajkot Hwy, Virpur, GJ 360110",70.6245683,False,False,43,1527618007,575851,GJ06AT6104
20,False,False,False,B,22.4099133,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.62172,False,False,43,1527617977,575851,GJ06AT6104
21,False,False,False,B,22.4116583,"Jamnagar - Rajkot Hwy, GJ 360110",70.6187566,False,False,42,1527617947,575851,GJ06AT6104
22,False,False,False,B,22.4136883,"Jamnagar - Rajkot Hwy, GJ 360110",70.6163583,False,False,38,1527617917,575851,GJ06AT6104
23,False,False,False,B,22.41648,"Rajkot Highway, GJ 360110",70.6167399,False,False,41,1527617887,575851,GJ06AT6104
