,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,A,23.932123,"NH48, Bhuwali, RJ 314011",73.569138,False,False,0.0,1527618553,575745,GJ06AX2792
1,False,False,False,A,23.932146,"NH48, Bhuwali, RJ 314011",73.569138,False,False,0.0,1527618433,575745,GJ06AX2792
2,False,False,False,A,23.932186,"NH48, Bhuwali, RJ 314011",73.569092,False,False,0.0,1527618313,575745,GJ06AX2792
3,False,False,False,A,23.932158,"NH48, Bhuwali, RJ 314011",73.569115,False,False,0.0,1527618192,575745,GJ06AX2792
4,False,False,False,A,23.932158,"NH48, Bhuwali, RJ 314011",73.56913,False,False,0.0,1527618073,575745,GJ06AX2792
5,False,False,False,A,23.932161,"NH48, Bhuwali, RJ 314011",73.569122,False,False,0.0,1527617952,575745,GJ06AX2792
6,False,False,False,A,23.932146,"NH48, Bhuwali, RJ 314011",73.569138,False,False,0.0,1527617833,575745,GJ06AX2792
7,False,False,False,A,23.932125,"NH48, Bhuwali, RJ 314011",73.569115,False,False,0.0,1527617712,575745,GJ06AX2792
8,False,False,False,A,23.932133,"NH48, Bhuwali, RJ 314011",73.569107,False,False,0.0,1527617691,575745,GJ06AX2792
9,False,False,False,B,23.932133,"NH48, Bhuwali, RJ 314011",73.569107,False,False,0.0,1527617682,575745,GJ06AX2792
10,False,False,False,B,23.932156,"NH48, Bhuwali, RJ 314011",73.569115,False,False,0.0,1527617652,575745,GJ06AX2792
11,False,False,False,B,23.931997,"NH48, Bhuwali, RJ 314011",73.569344,False,False,9.0,1527617623,575745,GJ06AX2792
12,False,False,False,B,23.929018,"NH48, Shishod, RJ 314011",73.568085,False,False,60.0,1527617593,575745,GJ06AX2792
13,False,False,False,B,23.925615,"NH48, Shishod, RJ 314011",73.566666,False,False,47.0,1527617562,575745,GJ06AX2792
14,False,False,False,B,23.922291,"NH48, Shishod, RJ 314011",73.565277,False,False,34.0,1527617532,575745,GJ06AX2792
15,False,False,False,B,23.919827,"NH48, Shishod, RJ 314011",73.564293,False,False,37.0,1527617502,575745,GJ06AX2792
16,False,False,False,B,23.91758,"NH48, Shishod, RJ 314011",73.56324,False,False,34.0,1527617473,575745,GJ06AX2792
17,False,False,False,B,23.916687,"NH48, Shishod, RJ 314011",73.561897,False,False,59.0,1527617459,575745,GJ06AX2792
18,False,False,False,B,23.915094,"NH48, Shishod, RJ 314011",73.559296,False,False,69.0,1527617442,575745,GJ06AX2792
19,False,False,False,B,23.913485,"NH48, Shishod, RJ 314011",73.557137,False,False,64.0,1527617426,575745,GJ06AX2792
