,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,B,22.3791349,"Jamnagar - Rajkot Hwy, GJ 360110",70.682815,False,False,45,1527618581,575852,GJ06XX8569
1,False,False,False,B,22.380445,"Jamnagar - Rajkot Hwy, GJ 360110",70.679415,False,False,47,1527618551,575852,GJ06XX8569
2,False,False,False,B,22.3815216,"Jamnagar - Rajkot Hwy, GJ 360110",70.67587,False,False,46,1527618521,575852,GJ06XX8569
3,False,False,False,B,22.3826333,"Jamnagar - Rajkot Hwy, GJ 360110",70.6723366,False,False,45,1527618491,575852,GJ06XX8569
4,False,False,False,B,22.3837083,"Jamnagar - Rajkot Hwy, GJ 360110",70.6688899,False,False,45,1527618461,575852,GJ06XX8569
5,False,False,False,B,22.3848283,"Jamnagar - Rajkot Hwy, GJ 360110",70.6653683,False,False,46,1527618431,575852,GJ06XX8569
6,False,False,False,B,22.3858883,"Jamnagar - Rajkot Hwy, GJ 360110",70.6618483,False,False,46,1527618401,575852,GJ06XX8569
7,False,False,False,B,22.38714,"Jamnagar - Rajkot Hwy, GJ 360110",70.65834,False,False,43,1527618371,575852,GJ06XX8569
8,False,False,False,B,22.38913,"Jamnagar - Rajkot Hwy, GJ 360110",70.6558366,False,False,45,1527618341,575852,GJ06XX8569
9,False,False,False,B,22.3908433,"Jamnagar - Rajkot Hwy, GJ 360110",70.6525916,False,False,46,1527618311,575852,GJ06XX8569
10,False,False,False,B,22.3923316,"Jamnagar - Rajkot Hwy, GJ 360110",70.6492783,False,False,45,1527618281,575852,GJ06XX8569
11,False,False,False,B,22.39385,"Jamnagar - Rajkot Hwy, GJ 360110",70.6459433,False,False,45,1527618251,575852,GJ06XX8569
12,False,False,False,B,22.3952683,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.6426899,False,False,43,1527618221,575852,GJ06XX8569
13,False,False,False,B,22.3966733,"Jamnagar - Rajkot Hwy, Rampar Mota, GJ 360110",70.6394766,False,False,44,1527618191,575852,GJ06XX8569
