,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,A,27.572718,"Hathras Bypass Rd, Nahroi, UP 204101",78.031418,False,False,0.0,1527618563,571856,GJ12AW2874
1,False,False,False,A,27.572718,"Hathras Bypass Rd, Nahroi, UP 204101",78.031418,False,False,0.0,1527618443,571856,GJ12AW2874
2,False,False,False,A,27.572803,"Hathras Bypass Rd, Nahroi, UP 204101",78.031403,False,False,0.0,1527618323,571856,GJ12AW2874
3,False,False,False,A,27.572763,"Hathras Bypass Rd, Nahroi, UP 204101",78.031425,False,False,0.0,1527618203,571856,GJ12AW2874
4,False,False,False,A,27.572763,"Hathras Bypass Rd, Nahroi, UP 204101",78.031425,False,False,0.0,1527618083,571856,GJ12AW2874
5,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617963,571856,GJ12AW2874
6,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617843,571856,GJ12AW2874
7,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617722,571856,GJ12AW2874
8,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617602,571856,GJ12AW2874
9,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617482,571856,GJ12AW2874
10,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617362,571856,GJ12AW2874
11,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527617241,571856,GJ12AW2874
12,False,False,False,A,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.031425,False,False,0.0,1527617121,571856,GJ12AW2874
13,False,False,False,A,27.572786,"Hathras Bypass Rd, Nahroi, UP 204101",78.031418,False,False,0.0,1527617001,571856,GJ12AW2874
14,False,False,False,A,27.572783,"Hathras Bypass Rd, Nahroi, UP 204101",78.03141,False,False,0.0,1527616981,571856,GJ12AW2874
15,False,False,False,B,27.572767,"Hathras Bypass Rd, Nahroi, UP 204101",78.031425,False,False,5.0,1527616972,571856,GJ12AW2874
16,False,False,False,B,27.571241,"Hathras Bypass Rd, Nahroi, UP 204101",78.03289,False,False,44.0,1527616942,571856,GJ12AW2874
17,False,False,False,B,27.568592,"Hathras Bypass Rd, Nahroi, UP 204101",78.035271,False,False,44.0,1527616911,571856,GJ12AW2874
18,False,False,False,B,27.565928,"Hathras Bypass Rd, UP 204101",78.037697,False,False,44.0,1527616881,571856,GJ12AW2874
19,False,False,False,B,27.563232,"Hathras Bypass Rd, UP 204101",78.03952,False,False,43.0,1527616851,571856,GJ12AW2874
20,False,False,False,B,27.560358,"Hathras Bypass Rd, UP 204101",78.040733,False,False,43.0,1527616822,571856,GJ12AW2874
21,False,False,False,B,27.557537,"Hathras Bypass Rd, UP 204101",78.041405,False,False,35.0,1527616791,571856,GJ12AW2874
22,False,False,False,B,27.554419,"Hathras Bypass Rd, Mitai, UP 204101",78.041977,False,False,42.0,1527616761,571856,GJ12AW2874
23,False,False,False,B,27.551083,"Hathras Bypass Rd, Mitai, UP 204101",78.042702,False,False,45.0,1527616731,571856,GJ12AW2874
24,False,False,False,B,27.547935,"Hathras Bypass Rd, Mitai, UP 204101",78.043495,False,False,41.0,1527616702,571856,GJ12AW2874
25,False,False,False,B,27.545048,"Hathras Bypass Rd, Mitai, UP 204101",78.044281,False,False,33.0,1527616671,571856,GJ12AW2874
26,False,False,False,B,27.543419,"Hathras Bypass Rd, Mitai, UP 204101",78.044716,False,False,9.0,1527616641,571856,GJ12AW2874
27,False,False,False,B,27.542526,"NH509, Mitai, UP 204101",78.045166,False,False,6.0,1527616610,571856,GJ12AW2874
28,False,False,False,B,27.542868,"Agra Rd, Mitai, UP 204101",78.045387,False,False,24.0,1527616581,571856,GJ12AW2874
29,False,False,False,B,27.546017,"Agra Rd, Mitai, UP 204101",78.046059,False,False,45.0,1527616550,571856,GJ12AW2874
30,False,False,False,B,27.549616,"Agra Rd, Mitai, UP 204101",78.046349,False,False,52.0,1527616521,571856,GJ12AW2874
31,False,False,False,B,27.552917,"Agra Rd, Meetai, UP 204101",78.047607,False,False,40.0,1527616491,571856,GJ12AW2874
32,False,False,False,B,27.555908,"Agra Rd, Kalwari, UP 204101",78.049843,False,False,49.0,1527616460,571856,GJ12AW2874
33,False,False,False,B,27.558807,"Agra Rd, Kalwari, UP 204101",78.051201,False,False,37.0,1527616431,571856,GJ12AW2874
34,False,False,False,B,27.560696,"Agra Rd, Kalwari, UP 204101",78.051712,False,False,8.0,1527616401,571856,GJ12AW2874
35,False,False,False,B,27.562843,"Agra Rd, Kalwari, UP 204101",78.052261,False,False,32.0,1527616371,571856,GJ12AW2874
36,False,False,False,B,27.564211,"Agra Rd, Hathras, UP 204101",78.052658,False,False,0.0,1527616341,571856,GJ12AW2874
37,False,False,False,B,27.564243,"Agra Rd, Hathras, UP 204101",78.05262,False,False,0.0,1527616311,571856,GJ12AW2874
38,False,False,False,B,27.564266,"Agra Rd, Hathras, UP 204101",78.052628,False,False,0.0,1527616281,571856,GJ12AW2874
39,False,False,False,A,27.564238,"Agra Rd, Hathras, UP 204101",78.052643,False,False,0.0,1527616223,571856,GJ12AW2874
40,False,False,False,A,27.564238,"Agra Rd, Hathras, UP 204101",78.052643,False,False,0.0,1527616103,571856,GJ12AW2874
41,False,False,False,A,27.56419,"Agra Rd, Hathras, UP 204101",78.052643,False,False,0.0,1527615983,571856,GJ12AW2874
42,False,False,False,A,27.564142,"Agra Rd, Hathras, UP 204101",78.052666,False,False,0.0,1527615863,571856,GJ12AW2874
43,False,False,False,A,27.564142,"Agra Rd, Hathras, UP 204101",78.052666,False,False,0.0,1527615743,571856,GJ12AW2874
