,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618576,571983,GJ12BV1480
1,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618531,571983,GJ12BV1480
2,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618486,571983,GJ12BV1480
3,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618441,571983,GJ12BV1480
4,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618396,571983,GJ12BV1480
5,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618351,571983,GJ12BV1480
6,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618306,571983,GJ12BV1480
7,False,False,False,A,27.90109,"SH 33, UP 207402",78.802336,False,False,0.0,1527618302,571983,GJ12BV1480
8,False,False,False,B,27.901111,"SH 33, UP 207402",78.802344,False,False,5.0,1527618291,571983,GJ12BV1480
9,False,False,False,B,27.902026,"SH 33, UP 207402",78.805762,False,False,57.0,1527618257,571983,GJ12BV1480
10,False,False,False,B,27.903373,"SH 33, Udher Pukhta, UP 207402",78.810612,False,False,50.0,1527618222,571983,GJ12BV1480
11,False,False,False,B,27.904533,"SH 33, Udher Pukhta, UP 207402",78.814429,False,False,20.0,1527618187,571983,GJ12BV1480
12,False,False,False,B,27.905668,"SH 33, Udher Pukhta, UP 207402",78.818416,False,False,48.0,1527618153,571983,GJ12BV1480
13,False,False,False,B,27.906995,"SH 33, Udher Pukhta, UP 207402",78.822843,False,False,40.0,1527618118,571983,GJ12BV1480
14,False,False,False,B,27.907772,"SH 33, Manpur Nagria, UP 207402",78.825854,False,False,9.0,1527618084,571983,GJ12BV1480
15,False,False,False,B,27.90839,"SH 33, Manpur Nagria, UP 207402",78.827775,False,False,40.0,1527618049,571983,GJ12BV1480
16,False,False,False,B,27.909367,"SH 33, Manpur Nagria, UP 207402",78.832747,False,False,55.0,1527618015,571983,GJ12BV1480
17,False,False,False,B,27.910392,"SH 33, Manpur Nagria, UP 207402",78.838314,False,False,57.0,1527617980,571983,GJ12BV1480
18,False,False,False,B,27.911365,"SH 33, Manpur Nagria, UP 207402",78.843595,False,False,42.0,1527617945,571983,GJ12BV1480
19,False,False,False,B,27.911967,"SH 33, Manpur Nagria, UP 207402",78.846029,False,False,20.0,1527617911,571983,GJ12BV1480
20,False,False,False,B,27.914429,"SH 33, Manpur Nagria, UP 207402",78.847754,False,False,44.0,1527617876,571983,GJ12BV1480
21,False,False,False,B,27.91807,"SH 33, Manpur Nagria, UP 207402",78.850016,False,False,40.0,1527617842,571983,GJ12BV1480
22,False,False,False,B,27.919535,"SH 33, Manpur Nagria, UP 207402",78.85092,False,False,3.0,1527617807,571983,GJ12BV1480
23,False,False,False,B,27.919963,"SH 33, Manpur Nagria, UP 207402",78.851245,False,False,16.0,1527617773,571983,GJ12BV1480
24,False,False,False,B,27.922949,"SH 33, Pipraul Kham, UP 243636",78.853174,False,False,40.0,1527617738,571983,GJ12BV1480
25,False,False,False,B,27.926416,"SH 33, Pipraul Kham, UP 243636",78.854826,False,False,46.0,1527617704,571983,GJ12BV1480
26,False,False,False,B,27.930042,"SH 33, Pipraul Kham, UP 243636",78.856576,False,False,50.0,1527617669,571983,GJ12BV1480
27,False,False,False,B,27.933858,"SH 33, Pipraul Kham, UP 243636",78.858984,False,False,51.0,1527617634,571983,GJ12BV1480
28,False,False,False,B,27.936178,"SH 33, Pipraul Kham, UP 243636",78.861458,False,False,22.0,1527617600,571983,GJ12BV1480
29,False,False,False,B,27.93667,"SH 33, Pipraul Kham, UP 243636",78.862622,False,False,20.0,1527617565,571983,GJ12BV1480
30,False,False,False,B,27.937219,"SH 33, Pipraul Kham, UP 243636",78.863721,False,False,25.0,1527617531,571983,GJ12BV1480
31,False,False,False,B,27.937907,"SH 33, Pipraul Kham, UP 243636",78.865186,False,False,24.0,1527617496,571983,GJ12BV1480
